xpos,reward_behind,distance,size,reward
1,0.0,1.890020372876949,0.6440717218815787,-1.0000000088475645
1,0.0,2.4362127166546097,0.42545690731472224,-1.0000000088475645
-1,0.0,1.9486014044479945,1.3383873636547121,0.792566210962832
0,0.0,3.8844680080531306,0.09570310783933322,-1.0000000088475645
1,1.0,3.9225923623566468,0.5077988219748086,-1.0000000088475645
0,0.5,5.1802099270701145,1.4266040666940198,-1.0000000088475645
-1,0.5,1.8815042528839743,0.4035419478915863,-1.0000000088475645
1,0.5,3.263045335767837,1.0821897156920022,-1.0000000088475645
-1,1.0,2.5646581237864092,0.8253915885604294,-1.0000000088475645
1,0.5,1.9509194698124537,0.7177284946557136,-1.0000000088475645
0,0.0,3.8020506766638067,0.1277742997801723,-1.0000000088475645
-1,1.0,4.259609743918473,1.1533856161212581,-1.0000000088475645
1,0.0,4.931888787350422,0.8664277841139477,-1.0000000088475645
-1,0.0,4.7831814540201725,0.4355167138645009,-1.0000000088475645
-1,0.0,4.677887046910861,1.1178025157518507,0.463291103951633
-1,0.5,4.4355858947594395,0.519729866149708,-1.0000000088475645
-1,0.0,4.365684996292376,1.8103041482466946,0.4174999976530671
-1,1.0,4.492568529703717,1.800004121928956,-1.0000000088475645
-1,1.0,3.1826331878379968,0.4052927569982157,-1.0000000088475645
0,0.0,4.092997710350676,1.3878401354769092,1.3044523680582643
1,0.0,1.890020372876949,0.6440717218815787,1.3150490587577224
1,0.0,2.4362127166546097,0.42545690731472224,-1.0000000088475645
-1,0.0,1.9486014044479945,1.3383873636547121,0.7905661771073937
0,0.0,3.8844680080531306,0.09570310783933322,-1.0000000088475645
1,1.0,3.9225923623566468,0.5077988219748086,-1.0000000088475645
0,0.5,5.1802099270701145,1.4266040666940198,-1.0000000088475645
-1,0.5,1.8815042528839743,0.4035419478915863,0.6114276358857751
1,0.5,3.263045335767837,1.0821897156920022,-1.0000000088475645
-1,1.0,2.5646581237864092,0.8253915885604294,-1.0000000088475645
1,0.5,1.9509194698124537,0.7177284946557136,-1.0000000088475645
0,0.0,3.8020506766638067,0.1277742997801723,-1.0000000088475645
-1,1.0,4.259609743918473,1.1533856161212581,-1.0000000088475645
1,0.0,4.931888787350422,0.8664277841139477,-1.0000000088475645
-1,0.0,4.7831814540201725,0.4355167138645009,-1.0000000088475645
-1,0.0,4.677887046910861,1.1178025157518507,0.46129107009619474
-1,0.5,4.4355858947594395,0.519729866149708,-1.0000000088475645
-1,0.0,4.365684996292376,1.8103041482466946,0.45149999391287565
-1,1.0,4.492568529703717,1.800004121928956,-1.0000000088475645
-1,1.0,3.1826331878379968,0.4052927569982157,1.7644938779994845
0,0.0,4.092997710350676,1.3878401354769092,1.3404523683711886
1,0.0,1.890020372876949,0.6440717218815787,1.3150490587577224
1,0.0,2.4362127166546097,0.42545690731472224,-1.0000000088475645
-1,0.0,1.9486014044479945,1.3383873636547121,0.792566210962832
0,0.0,3.8844680080531306,0.09570310783933322,1.1082323146983981
1,1.0,3.9225923623566468,0.5077988219748086,1.0086846323683858
0,0.5,5.1802099270701145,1.4266040666940198,1.7542042089626193
-1,0.5,1.8815042528839743,0.4035419478915863,0.605427635833621
1,0.5,3.263045335767837,1.0821897156920022,0.4454999938607216
